Experiment: 2026-02-11_SUN4-mNG_RTqPCR_ADH1only_p1_BK  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	15.62		0	
True	255	A2	Sample 2	17.40		0	
True	255	A3	Sample 3	14.48		0	
True	255	A4	Sample 4	12.78		0	
True	255	A5	Sample 5	17.67		0	
True	255	A6	Sample 6	16.49		0	
True	255	A7	Sample 7	16.84		0	
True	255	A8	Sample 8	18.89		0	
True	255	A9	Sample 9	14.07		0	
True	255	A10	Sample 10	12.85		0	
True	255	A11	Sample 11	16.58		0	
True	255	A12	Sample 12	16.49		0	
True	255	A13	Sample 13	15.58		0	
True	255	A14	Sample 14	15.52		0	
True	255	A15	Sample 15	13.76		0	
True	255	A16	Sample 16	12.71		0	
True	255	A17	Sample 17	16.37		0	
True	255	A18	Sample 18	16.58		0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	15.49		0	
True	255	B2	Sample 26	15.66		0	
True	255	B3	Sample 27	14.65		0	
True	255	B4	Sample 28	12.53		0	
True	255	B5	Sample 29	15.63		0	
True	255	B6	Sample 30	15.63		0	
True	255	B7	Sample 31	14.88		0	
True	255	B8	Sample 32	15.46		0	
True	255	B9	Sample 33	13.66		0	
True	255	B10	Sample 34	12.82		0	
True	255	B11	Sample 35	14.98		0	
True	255	B12	Sample 36	15.83		0	
True	255	B13	Sample 37	15.48		0	
True	255	B14	Sample 38	15.49		0	
True	255	B15	Sample 39	14.34		0	
True	255	B16	Sample 40	12.62		0	
True	255	B17	Sample 41	15.79		0	
True	255	B18	Sample 42	16.41		0	
True	65280	B19	Sample 43			0	
True	255	B20	Sample 44	36.96		0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	15.65		0	
True	255	C2	Sample 50	16.96		0	
True	255	C3	Sample 51	14.31		0	
True	255	C4	Sample 52	12.56		0	
True	255	C5	Sample 53	16.40		0	
True	255	C6	Sample 54	16.42		0	
True	255	C7	Sample 55	15.38		0	
True	255	C8	Sample 56	15.99		0	
True	255	C9	Sample 57	14.30		0	
True	255	C10	Sample 58	12.40		0	
True	255	C11	Sample 59	16.33		0	
True	255	C12	Sample 60	16.31		0	
True	255	C13	Sample 61	15.49		0	
True	255	C14	Sample 62	15.80		0	
True	255	C15	Sample 63	13.94		0	
True	255	C16	Sample 64	12.56		0	
True	255	C17	Sample 65	16.40		0	
True	255	C18	Sample 66	16.42		0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	15.64		0	
True	255	D2	Sample 74	15.99		0	
