Experiment: 2026-01-28_SUN4-mNG_RTqPCR_replacedUTRs_p1_BK  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	16.39		0	
True	255	A2	Sample 2	17.89		0	
True	255	A3	Sample 3	13.53		0	
True	255	A4	Sample 4	13.57		0	
True	255	A5	Sample 5	14.83		0	
True	255	A6	Sample 6	18.65		0	
True	255	A7	Sample 7	16.38		0	
True	255	A8	Sample 8	16.48		0	
True	255	A9	Sample 9	14.49		0	
True	255	A10	Sample 10	13.60		0	
True	255	A11	Sample 11	15.67		0	
True	255	A12	Sample 12	17.58		0	
True	255	A13	Sample 13	14.56		0	
True	255	A14	Sample 14	16.79		0	
True	255	A15	Sample 15	13.61		0	
True	255	A16	Sample 16	13.29		0	
True	255	A17	Sample 17	35.72		0	
True	255	A18	Sample 18	15.37		0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	255	A24	Sample 24	33.59		0	
True	255	B1	Sample 25	16.83		0	
True	255	B2	Sample 26	16.40		0	
True	255	B3	Sample 27	15.00		0	
True	255	B4	Sample 28	13.45		0	
True	255	B5	Sample 29	16.45		0	
True	255	B6	Sample 30	17.42		0	
True	255	B7	Sample 31	16.69		0	
True	255	B8	Sample 32	15.85		0	
True	255	B9	Sample 33	15.44		0	
True	255	B10	Sample 34	13.32		0	
True	255	B11	Sample 35	16.44		0	
True	255	B12	Sample 36	17.94		0	
True	255	B13	Sample 37	15.99		0	
True	255	B14	Sample 38	17.63		0	
True	255	B15	Sample 39	14.64		0	
True	255	B16	Sample 40	13.91		0	
True	255	B17	Sample 41	16.56		0	
True	255	B18	Sample 42	17.69		0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	255	B24	Sample 48	26.97		0	
True	255	C1	Sample 49	17.48		0	
True	255	C2	Sample 50	17.70		0	
True	255	C3	Sample 51	14.62		0	
True	255	C4	Sample 52	13.38		0	
True	255	C5	Sample 53	16.66		0	
True	255	C6	Sample 54	17.80		0	
True	255	C7	Sample 55	15.53		0	
True	255	C8	Sample 56	16.80		0	
True	255	C9	Sample 57	14.35		0	
True	255	C10	Sample 58	13.75		0	
True	255	C11	Sample 59	16.45		0	
True	255	C12	Sample 60	17.53		0	
True	255	C13	Sample 61	16.45		0	
True	255	C14	Sample 62	16.29		0	
True	255	C15	Sample 63	14.85		0	
True	255	C16	Sample 64	13.86		0	
True	255	C17	Sample 65	17.25		0	
True	255	C18	Sample 66	17.89		0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	255	C24	Sample 72	31.97		0	
True	255	D1	Sample 73	17.59		0	
True	255	D2	Sample 74	17.74		0	
True	255	D3	Sample 75	15.39		0	
True	255	D4	Sample 76	14.50		0	
True	255	D5	Sample 77	17.28		0	
True	255	D6	Sample 78	17.74		0	
True	255	D7	Sample 79	16.79		0	
True	255	D8	Sample 80	16.59		0	
True	255	D9	Sample 81	15.32		0	
True	255	D10	Sample 82	13.61		0	
True	255	D11	Sample 83	15.88		0	
True	255	D12	Sample 84	18.72		0	
True	255	D13	Sample 85	16.68		0	
True	255	D14	Sample 86	16.59		0	
True	255	D15	Sample 87	15.41		0	
True	255	D16	Sample 88	13.99		0	
True	255	D17	Sample 89	16.88		0	
True	255	D18	Sample 90	17.54		0	
True	65280	D19	Sample 91			0	
True	65280	D20	Sample 92			0	
True	65280	D21	Sample 93			0	
True	65280	D22	Sample 94			0	
True	65280	D23	Sample 95			0	
True	65280	D24	Sample 96			0	
True	255	E1	Sample 97	16.56		0	
True	255	E2	Sample 98	16.65		0	
True	255	E3	Sample 99	14.61		0	
True	255	E4	Sample 100	13.53		0	
True	255	E5	Sample 101	16.71		0	
True	255	E6	Sample 102	17.60		0	
True	255	E7	Sample 103	15.91		0	
True	255	E8	Sample 104	16.79		0	
True	255	E9	Sample 105	14.64		0	
True	255	E10	Sample 106	13.58		0	
True	255	E11	Sample 107	16.64		0	
True	255	E12	Sample 108	17.44		0	
True	255	E13	Sample 109	15.99		0	
True	255	E14	Sample 110	15.40		0	
True	255	E15	Sample 111	13.36		0	
True	255	E16	Sample 112	12.88		0	
True	255	E17	Sample 113	15.72		0	
True	255	E18	Sample 114	16.96		0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	65280	E24	Sample 120			0	
True	255	F1	Sample 121	15.70		0	
True	255	F2	Sample 122	15.68		0	
True	255	F3	Sample 123	13.62		0	
True	255	F4	Sample 124	13.31		0	
True	255	F5	Sample 125	16.46		0	
True	255	F6	Sample 126	16.00		0	
True	255	F7	Sample 127	15.92		0	
True	255	F8	Sample 128	15.40		0	
True	255	F9	Sample 129	13.54		0	
True	255	F10	Sample 130	12.47		0	
True	255	F11	Sample 131	16.50		0	
True	255	F12	Sample 132	15.74		0	
True	255	F13	Sample 133	16.46		0	
True	255	F14	Sample 134	15.58		0	
True	255	F15	Sample 135	13.32		0	
True	255	F16	Sample 136	13.30		0	
True	255	F17	Sample 137	16.44		0	
True	255	F18	Sample 138	17.31		0	
True	65280	F19	Sample 139			0	
True	255	F20	Sample 140	34.88		0	
True	65280	F21	Sample 141			0	
True	65280	F22	Sample 142			0	
True	65280	F23	Sample 143			0	
True	65280	F24	Sample 144			0	
True	255	G1	Sample 145	15.82		0	
True	255	G2	Sample 146	16.85		0	
True	255	G3	Sample 147	13.89		0	
True	255	G4	Sample 148	13.68		0	
True	255	G5	Sample 149	16.51		0	
True	255	G6	Sample 150	17.70		0	
True	255	G7	Sample 151	15.41		0	
True	255	G8	Sample 152	15.90		0	
True	255	G9	Sample 153	13.79		0	
True	255	G10	Sample 154	13.43		0	
True	255	G11	Sample 155	15.73		0	
True	255	G12	Sample 156	16.83		0	
True	255	G13	Sample 157	15.48		0	
True	255	G14	Sample 158	16.78		0	
True	255	G15	Sample 159	14.49		0	
True	255	G16	Sample 160	13.63		0	
True	255	G17	Sample 161	16.56		0	
True	255	G18	Sample 162	16.79		0	
True	65280	G19	Sample 163			0	
True	65280	G20	Sample 164			0	
True	65280	G21	Sample 165			0	
True	65280	G22	Sample 166			0	
True	255	G23	Sample 167	32.36		0	
True	255	G24	Sample 168	30.86		0	
True	255	H1	Sample 169	15.41		0	
True	255	H2	Sample 170	16.49		0	
True	255	H3	Sample 171	13.97		0	
True	255	H4	Sample 172	13.82		0	
True	255	H5	Sample 173	15.72		0	
True	255	H6	Sample 174	17.53		0	
True	255	H7	Sample 175	15.61		0	
True	255	H8	Sample 176	16.78		0	
True	255	H9	Sample 177	13.73		0	
True	255	H10	Sample 178	13.81		0	
True	255	H11	Sample 179	16.74		0	
True	255	H12	Sample 180	17.57		0	
True	255	H13	Sample 181	16.43		0	
True	255	H14	Sample 182	15.80		0	
True	255	H15	Sample 183	14.56		0	
True	255	H16	Sample 184	13.67		0	
True	255	H17	Sample 185	16.68		0	
True	255	H18	Sample 186	17.83		0	
True	65280	H19	Sample 187			0	
